time,price,fundamental_value,log_return,fundamental_shock,log_mispricing,sentiment,optimists,pessimists,fundamentalists
132,108.886,109.814,-0.0275891,-0.00669896,-0.0190982,-0.00336923,16565,16677,16758
133,111.093,109.853,0.0200663,0.000350365,0.00884127,-0.00270709,16578,16668,16754
134,108.163,109.109,-0.0267305,-0.00679806,-0.0180231,-0.00177449,16595,16654,16751
135,110.655,109.611,0.0227779,0.00459131,0.0132987,-0.00249572,16587,16670,16743
136,107.874,108.86,-0.025448,-0.00687474,-0.0163539,0.00279422,16688,16595,16717
137,106.477,108.289,-0.0130357,-0.00526077,0.00383334,0.000540898,16648,16630,16722
138,109.338,108.444,0.0265111,0.00143133,0.0183004,-0.000781156,16629,16655,16716
139,107.285,108.736,-0.018958,0.0026903,-0.00552041,0.000540995,16645,16627,16728
140,105.789,107.805,-0.0140347,-0.00859726,0.00484038,-0.000480452,16643,16659,16698
141,108.408,107.455,0.0244487,-0.00325178,0.0156233,-0.00174415,16598,16656,16746
142,106.245,107.589,-0.0201495,0.00124834,-0.00757704,-0.00162386,16600,16654,16746
143,108.624,107.562,0.0221406,-0.000258666,0.0123138,-0.00186511,16590,16652,16758
144,106.184,107.318,-0.0227191,-0.00226329,-0.0120901,0.00327613,16690,16581,16729
145,108.474,107.372,0.0213382,0.000499736,0.0111287,0.00333183,16713,16602,16685
146,110.101,108.02,0.0148923,0.00601928,-0.00419019,0.00981069,16829,16502,16669
147,107.499,108.551,-0.0239213,0.00489741,-0.0141851,0.0142291,16893,16419,16688
148,109.666,108.431,0.0199622,-0.00109892,0.00863724,0.0140972,16869,16400,16731
149,107.597,108.993,-0.019053,0.00516633,-0.00615866,0.0171038,16948,16378,16674
150,110.2,109.185,0.0239085,0.00175985,0.0146542,0.0140608,16876,16408,16716
151,107.672,108.731,-0.0232047,-0.00416884,-0.0134231,0.0199363,16985,16321,16694
152,110.478,109.53,0.0257255,0.00732325,0.0171048,0.0161717,16903,16365,16732
153,107.654,108.59,-0.0258917,-0.0086152,-0.0172358,0.0199158,16951,16289,16760
154,110.122,109.046,0.0226596,0.00418812,0.012844,0.0153218,16898,16388,16714
155,111.742,109.756,0.0146073,0.00648939,-0.00332618,0.0165354,16906,16356,16738
156,108.949,109.942,-0.0253159,0.00169674,-0.0162367,0.0156898,16896,16374,16730
157,111.132,109.87,0.0198401,-0.000661351,0.00841782,0.0138446,16843,16383,16774
158,108.809,110.048,-0.0211247,0.00161706,-0.00980526,0.0172767,16899,16325,16776
159,111.037,109.836,0.020267,-0.00192259,0.00939685,0.0148445,16852,16359,16789
160,108.066,108.993,-0.0271186,-0.00770571,-0.0185759,0.0159419,16856,16327,16817
161,106.404,107.905,-0.0154936,-0.0100339,-0.00149119,0.0132972,16803,16362,16835
162,108.996,108.005,0.0240676,0.000926277,0.0149287,0.0100785,16737,16403,16860
163,106.833,108.103,-0.0200442,0.000905681,-0.00823318,0.0185638,16872,16257,16871
164,110.026,109.181,0.0294435,0.00992926,0.0217402,0.0159717,16825,16296,16879
165,107.605,108.721,-0.0222471,-0.00422567,-0.0119289,0.0202886,16897,16225,16878
166,108.512,108.033,0.00839088,-0.00635014,0.00396799,0.0171684,16826,16258,16916
167,110.034,108.298,0.0139319,0.00244828,-0.00197461,0.0208333,16905,16215,16880
168,107.678,108.823,-0.0216439,0.00483549,-0.011071,0.0202517,16902,16231,16867
169,106.046,107.803,-0.0152706,-0.00941622,0.00115667,0.0149885,16794,16298,16908
170,108.807,107.86,0.0256968,0.000526789,0.016954,0.0117334,16728,16340,16932
171,106.466,107.672,-0.0217445,-0.00173895,-0.0104817,0.0140981,16760,16294,16946
172,109.092,108.102,0.0243595,0.00398501,0.0152478,0.0116729,16727,16341,16932
173,106.315,107.299,-0.0257859,-0.00745497,-0.0165667,0.0151818,16784,16282,16934
174,109.073,108.139,0.025613,0.00779844,0.0170176,0.0115492,16729,16347,16924
175,106.894,108.176,-0.0201755,0.00034167,-0.00825373,0.0163726,16823,16281,16896
176,109.634,108.68,0.0253085,0.004648,0.0165698,0.0157702,16779,16258,16963
177,111.25,109.16,0.0146296,0.00440722,-0.00433148,0.0183104,16851,16245,16904
178,108.43,109.418,-0.0256727,0.00236299,-0.0165981,0.0249637,16957,16131,16912
179,110.483,109.091,0.0187579,-0.00299305,0.00608151,0.0201111,16891,16225,16884
180,108.293,109.583,-0.0200201,0.00449939,-0.00817704,0.0233922,16931,16157,16912
181,110.861,109.822,0.0234324,0.00217219,0.0140153,0.0193342,16871,16231,16898
182,108.541,109.752,-0.021146,-0.000633219,-0.0100503,0.0226875,16949,16197,16854
183,110.655,109.351,0.0192874,-0.00366004,0.00743571,0.0171956,16859,16289,16852
184,107.996,109.031,-0.0243203,-0.00293024,-0.014782,0.0179391,16853,16259,16888
185,109.958,108.57,0.0179989,-0.00423673,0.00530164,0.0146939,16815,16328,16857
186,107.197,108.182,-0.0254302,-0.00358165,-0.0162789,0.0167054,16828,16275,16897
187,109.88,108.927,0.0247226,0.00686312,0.0160144,0.0142352,16779,16308,16913
188,107.22,108.252,-0.0245023,-0.00621504,-0.0149233,0.0142003,16784,16314,16902
189,109.362,108.172,0.0197821,-0.000745983,0.00883308,0.0134735,16774,16328,16898
190,107.255,108.637,-0.0194551,0.00429117,-0.00665786,0.0147947,16805,16315,16880
191,110.12,109.205,0.026357,0.00522148,0.0180187,0.0137631,16794,16338,16868
192,108.76,110.277,-0.0124221,0.00976578,0.0014274,0.0185543,16853,16239,16908
193,111.806,110.955,0.0276184,0.00612788,0.0199774,0.0191953,16858,16223,16919
194,109.496,110.703,-0.0208796,-0.00226959,-0.00991058,0.0247014,16946,16129,16925
195,112.538,111.614,0.027406,0.00819025,0.0191593,0.0277383,16988,16071,16941
196,114.269,112.57,0.0152593,0.00853047,0.000283833,0.0295052,17010,16035,16955
197,110.364,111.144,-0.034763,-0.0127482,-0.0277237,0.032473,17042,15970,16988
198,113.141,112.128,0.0248484,0.0088155,0.0158548,0.0268682,16950,16063,16987
199,110.858,112.139,-0.0203834,9.92217e-05,-0.00889438,0.0283776,16978,16041,16981
200,112.908,111.429,0.0183212,-0.0063517,0.00513734,0.0248214,16928,16108,16964
201,110.5,111.681,-0.021559,0.00225515,-0.0109287,0.0286908,16995,16047,16958
202,113.989,113.134,0.0310895,0.0129262,0.0235565,0.0258088,16932,16080,16988
203,111.694,112.93,-0.0203433,-0.0018076,-0.00934059,0.0344473,17102,15963,16935
204,114.018,112.732,0.0205973,-0.00174948,0.00925325,0.0298232,17041,16054,16905
205,111.153,112.147,-0.0254491,-0.00520323,-0.0165473,0.0324334,17094,16020,16886
206,113.862,112.822,0.0240734,0.00600164,0.0149035,0.029386,17042,16069,16889
207,111.167,112.211,-0.0239485,-0.00543048,-0.0146004,0.030495,17082,16071,16847
208,113.759,112.69,0.0230497,0.00425904,0.0136071,0.0290401,17062,16099,16839
209,115.366,113.631,0.0140238,0.0083135,-0.00112912,0.0277007,17029,16111,16860
210,112.396,113.405,-0.0260757,-0.00198638,-0.0171393,0.0278827,17013,16090,16897
211,110.872,112.82,-0.0136554,-0.00517954,0.00375694,0.0266091,16995,16114,16891
212,114.096,113.213,0.0286645,0.00348191,0.0208942,0.0258798,16966,16110,16924
213,111.954,113.431,-0.0189562,0.00192392,-0.00584633,0.0273699,17004,16098,16898
214,114.529,113.432,0.0227389,7.6107e-06,0.0131174,0.0286681,17026,16077,16897
215,111.735,112.789,-0.0246939,-0.00568333,-0.0153048,0.02806,17000,16072,16928
216,114.212,113.067,0.021926,0.00245734,0.0118465,0.0275929,16982,16070,16948
217,111.724,112.9,-0.0220204,-0.00147218,-0.0115517,0.0366163,17156,15944,16900
218,113.857,112.445,0.0189077,-0.00404129,0.00642743,0.0392038,17177,15881,16942
219,111.688,113.048,-0.019237,0.00535041,-0.00712986,0.0448609,17282,15798,16920
220,114.757,113.793,0.027112,0.00656902,0.0186762,0.0459781,17301,15780,16919
221,112.5,113.786,-0.0198642,-5.8934e-05,-0.00849478,0.0509877,17397,15709,16894
222,115.32,114.279,0.024754,0.00431572,0.0156852,0.0465482,17312,15772,16916
223,117.038,115.611,0.0147877,0.0115883,0.00251944,0.0473773,17332,15764,16904
224,118.785,116.459,0.0148203,0.00730796,-0.00496032,0.0508803,17370,15688,16942
225,115.295,116.21,-0.0298204,-0.00213796,-0.0219185,0.0520896,17370,15650,16980
226,117.674,116.328,0.0204247,0.001014,0.0089159,0.0500909,17337,15683,16980
227,115.334,116.668,-0.0200918,0.00291757,-0.00859122,0.0550953,17446,15624,16930
228,117.683,116.306,0.0201655,-0.00310619,0.00839436,0.0544675,17472,15667,16861
229,115.078,116.256,-0.0223851,-0.00042776,-0.0121988,0.0541845,17471,15675,16854
230,115.747,115.37,0.00580067,-0.00764996,0.00253634,0.0520053,17417,15695,16888
231,118.03,116.59,0.0195307,0.0105194,0.00725511,0.0566152,17506,15630,16864
232,115.461,116.681,-0.0220106,0.000781233,-0.0114944,0.0594027,17540,15573,16887
233,117.948,116.688,0.0213176,5.91066e-05,0.0105754,0.0526888,17422,15678,16900
234,119.109,117.427,0.00979392,0.00631175,-0.00443043,0.051344,17405,15705,16890
235,116.302,117.489,-0.0238547,0.000530611,-0.0136937,0.055131,17464,15639,16897
236,118.847,117.629,0.0216525,0.00118704,0.011348,0.0529629,17396,15646,16958
237,116.348,117.669,-0.0212544,0.000337478,-0.00996695,0.0596215,17497,15528,16975
238,119.022,117.849,0.0227207,0.0015319,0.0128193,0.0501907,17346,15688,16966
239,116.63,118.039,-0.0202973,0.0016091,-0.0082923,0.0538045,17402,15625,16973
240,119.102,117.842,0.0209694,-0.0016708,0.0103342,0.0465525,17288,15750,16962
241,116.571,117.881,-0.0214759,0.000336513,-0.0102987,0.0484315,17329,15728,16943
242,119.11,117.905,0.021545,0.00020045,0.0113777,0.0442039,17268,15806,16926
243,116.874,118.427,-0.0189537,0.0044181,-0.00574918,0.0462283,17302,15773,16925
244,119.573,118.426,0.0228351,-1.02062e-05,0.0131943,0.0406081,17182,15841,16977
245,116.307,117.314,-0.0276904,-0.00942979,-0.0190706,0.0438575,17232,15784,16984
246,118.749,117.497,0.0207768,0.00155166,0.0101714,0.0370775,17104,15881,17015
247,116.256,117.588,-0.0212178,0.000779578,-0.00982582,0.0376884,17112,15869,17019
248,118.623,117.353,0.0201517,-0.00200488,0.00938711,0.03607,17062,15874,17064
249,115.878,117.055,-0.0234128,-0.00254121,-0.0133058,0.0405857,17127,15791,17082
250,118.838,117.82,0.0252245,0.00651504,0.0166221,0.0335045,17012,15909,17079
251,120.932,119.461,0.0174688,0.0138305,0.00522804,0.032971,17012,15926,17062
252,118.471,119.846,-0.0205612,0.00322147,-0.00901927,0.0356439,17070,15895,17035
253,120.954,119.694,0.0207393,-0.00126881,0.0102731,0.0336785,17019,15910,17071
254,118.569,120.026,-0.0199107,0.00276423,-0.007702,0.0322522,16995,15933,17072
255,121.471,120.388,0.0241777,0.00301138,0.0152201,0.0280544,16930,16006,17064
256,123.133,121.33,0.0135899,0.00779669,-0.00116088,0.0268318,16915,16031,17054
257,120.504,121.849,-0.0215834,0.00426999,-0.0104808,0.0283079,16946,16013,17041
258,123.167,121.951,0.0218642,0.000839609,0.0119423,0.0282976,16952,16019,17029
259,120.727,122.235,-0.0200117,0.00232087,-0.00760106,0.0303986,16982,15980,17038
260,123.02,121.6,0.018811,-0.00520635,0.00720428,0.0300294,16996,16005,16999
261,124.672,122.609,0.0133411,0.00826017,-0.00334657,0.0337569,17042,15929,17029
262,120.955,121.949,-0.0302654,-0.00539203,-0.0220797,0.0319546,17003,15950,17047
263,123.213,121.741,0.0184983,-0.00170973,0.00647599,0.033013,17038,15949,17013
264,120.746,122.3,-0.0202311,0.00457956,-0.0074427,0.0346562,17077,15933,16990
265,123.178,121.834,0.019945,-0.00381402,0.00897443,0.0376054,17107,15867,17026
266,120.125,121.295,-0.0251023,-0.00443909,-0.0154096,0.0391537,17092,15804,17104
267,122.663,121.41,0.0209149,0.000952633,0.0106453,0.0337748,17018,15906,17076
268,119.11,120.11,-0.0294009,-0.0107681,-0.0210377,0.0370753,17077,15856,17067
269,121.845,120.726,0.0227065,0.00511842,0.0134816,0.0305719,16956,15950,17094
270,119.151,120.48,-0.0223574,-0.00204255,-0.0112674,0.031307,16965,15935,17100
271,122.21,121.189,0.0253451,0.00586594,0.016956,0.0296681,16954,15977,17069
272,118.967,120.03,-0.0268916,-0.00960921,-0.0179984,0.0333364,17002,15905,17093
273,117.156,119.428,-0.0153423,-0.00502477,0.00386847,0.0290961,16924,15967,17109
274,120.097,119.063,0.0247996,-0.00306002,0.0161508,0.0247808,16831,16017,17152
275,118.374,119.874,-0.0144551,0.00678686,-0.00186192,0.0236422,16821,16044,17135
276,121.404,120.515,0.0252755,0.00533067,0.0179238,0.0194157,16749,16111,17140
277,119.094,120.649,-0.0192096,0.00111234,-0.00623931,0.0203536,16794,16124,17082
278,121.487,120.143,0.0198901,-0.00419969,0.00877056,0.0169193,16739,16182,17079
279,118.933,120.29,-0.0212396,0.00121913,-0.00990044,0.0216916,16815,16101,17084
280,121.647,120.512,0.0225551,0.00184572,0.0131849,0.0169985,16752,16192,17056
281,118.767,119.949,-0.0239526,-0.00468675,-0.0140569,0.0217042,16829,16114,17057
282,121.806,120.777,0.0252596,0.00688129,0.016777,0.0203252,16817,16147,17036
283,120.479,121.392,-0.0109506,0.00508309,-0.00339949,0.0200898,16807,16145,17048
284,122.847,121.609,0.0194674,0.00177996,0.00933108,0.0176919,16768,16185,17047
285,120.497,122.053,-0.0193151,0.00364731,-0.00648898,0.0216351,16858,16144,16998
286,123.201,122.002,0.0221893,-0.000419079,0.012407,0.0204304,16832,16158,17010
287,120.799,122.321,-0.0196874,0.00261528,-0.00716705,0.0204366,16827,16153,17020
288,123.086,121.602,0.01875,-0.00589888,0.0066215,0.0188931,16826,16202,16972
289,120.54,121.953,-0.0209016,0.00288032,-0.00924813,0.0224185,16897,16156,16947
290,123.198,121.961,0.0218158,7.21231e-05,0.0117255,0.0238658,16903,16115,16982
291,120.683,122.128,-0.0206231,0.00136163,-0.00872864,0.023384,16893,16121,16986
292,123.021,121.631,0.0191876,-0.00407454,0.00781992,0.0164948,16762,16218,17020
293,120.661,122.249,-0.0193699,0.00507034,-0.00629736,0.0172962,16792,16221,16987
294,124.007,123.041,0.0273475,0.00646017,0.0195327,0.0171975,16798,16230,16972
295,121.335,122.688,-0.0217821,-0.00287786,-0.0106926,0.0192226,16808,16174,17018
296,124.022,122.798,0.0219013,0.000896862,0.0119863,0.0171619,16773,16207,17020
297,121.46,122.877,-0.0208678,0.000646027,-0.009269,0.0155208,16750,16238,17012
298,119.61,121.849,-0.0153535,-0.00840084,0.00319793,0.0130083,16704,16275,17021
299,122.906,121.926,0.0271858,0.000627453,0.0191789,0.010993,16646,16284,17070
300,123.787,122.842,0.00714339,0.00748281,-0.000524158,0.016008,16724,16197,17079
301,124.95,123.41,0.00935322,0.00461283,-0.00305472,0.0177386,16782,16197,17021
302,122.39,123.894,-0.0207066,0.00392099,-0.00848694,0.0206951,16843,16160,16997
303,120.984,122.407,-0.011548,-0.0120802,0.000139524,0.0205442,16840,16162,16998
304,123.794,122.607,0.022959,0.00163296,0.0133205,0.0175864,16780,16200,17020
305,121.419,123.066,-0.0193775,0.00373859,-0.00589991,0.0174896,16784,16207,17009
306,124.677,123.666,0.0264794,0.0048667,0.0183442,0.0133592,16726,16285,16989
307,125.615,124.15,0.00749479,0.00390483,-0.00423033,0.0179264,16808,16216,16976
308,122.899,124.293,-0.0218516,0.00114795,-0.0105772,0.0180938,16824,16226,16950
